province,confirm,dead,heal,new_confirm
境外输入市,289,0,263,2
成都市,158,3,142,0
广元市,6,0,6,0
广安市,30,0,30,0
达州市,42,0,42,0
南充市,39,0,39,0
自贡市,9,0,9,0
攀枝花市,16,0,16,0
泸州市,24,0,24,0
德阳市,18,0,18,0
绵阳市,22,0,22,0
雅安市,8,0,8,0
遂宁市,17,0,17,0
内江市,22,0,22,0
乐山市,3,0,3,0
宜宾市,12,0,12,0
凉山市,13,0,13,0
甘孜市,78,0,78,0
阿坝市,1,0,1,0
资阳市,4,0,4,0
眉山市,8,0,8,0
巴中市,24,0,24,0
